BYSID,BYS23001,,,BYSID,hope_job_reason
6825,1,,,3910,4
6826,3,,,3911,3
6827,1,,,3913,3
6830,4,,,3919,1
6831,1,,,3920,3
6832,4,,,3921,4
6833,1,,,3923,3
6834,2,,,3925,3
6836,3,,,3926,3
6837,1,,,3927,1
6838,3,,,3929,1
6839,1,,,3931,3
6840,1,,,3937,4
6844,1,,,3939,1
6845,3,,,3941,3
6846,3,,,3942,3
6847,1,,,3944,1
6848,3,,,3945,3
6850,1,,,3948,4
6853,1,,,3949,1
6854,1,,,3950,3
6855,1,,,3951,1
6856,3,,,3952,4
6857,1,,,3954,4
6859,1,,,3955,1
6860,4,,,3956,2
6861,2,,,3957,2
6863,2,,,3958,1
6866,1,,,3959,1
6867,3,,,3960,3
6869,1,,,3962,4
6871,4,,,3963,1
6872,1,,,3964,3
6873,2,,,3968,1
6878,3,,,3969,4
6879,1,,,3971,1
6880,3,,,3973,1
6881,2,,,3974,3
6882,1,,,3976,1
6883,1,,,3981,1
6884,1,,,3983,3
6887,1,,,3985,1
6890,3,,,3986,1
6891,1,,,3990,1
6892,3,,,3991,1
6893,3,,,3992,4
6894,3,,,3993,1
6895,4,,,3994,4
6896,4,,,3998,3
6898,2,,,3999,4
6900,1,,,4005,4
6902,1,,,4006,1
6904,1,,,4007,1
6905,3,,,4008,2
6907,1,,,4016,4
6910,3,,,4018,1
6914,1,,,4019,1
6916,3,,,4020,1
6917,3,,,4022,1
6918,4,,,4023,1
6919,4,,,4024,1
6921,4,,,4027,3
6922,4,,,4028,1
6925,1,,,4030,4
6926,1,,,4031,3
6927,4,,,4032,1
6935,1,,,4035,1
6936,3,,,4038,1
6937,1,,,4041,1
6938,3,,,4043,1
6941,1,,,4044,4
6942,1,,,4045,1
6943,1,,,4047,4
6946,4,,,4048,1
6947,1,,,4049,1
6948,1,,,4053,1
6949,3,,,4056,1
6950,1,,,4057,3
6952,1,,,4058,3
6955,1,,,4059,1
6956,3,,,4060,1
6957,1,,,4061,3
6958,1,,,4064,4
6959,1,,,4068,4
6960,1,,,4069,1
6962,3,,,4071,1
6965,3,,,4073,2
6966,1,,,4076,1
6967,1,,,4079,4
6969,1,,,4080,3
6971,3,,,4081,4
6972,1,,,4082,4
6974,4,,,4085,1
6977,3,,,4088,1
6978,4,,,4092,2
6979,3,,,4093,4
6982,1,,,4096,1
6983,1,,,4100,1
6984,1,,,4102,1
6985,3,,,4103,3
6990,1,,,4104,3
6991,1,,,4111,1
6992,1,,,4112,3
6994,1,,,4113,1
6995,1,,,4119,3
6999,3,,,4120,4
7000,4,,,4125,3
3001,1,,,4129,3
3003,1,,,4130,1
3005,1,,,4133,1
3006,1,,,4135,4
3012,3,,,4140,1
3013,1,,,4143,3
3015,1,,,4145,4
3016,3,,,4148,1
3017,1,,,4149,1
3018,4,,,4151,1
3019,1,,,4153,4
3020,3,,,4154,1
3021,1,,,4155,1
3022,3,,,4160,3
3023,1,,,4166,1
3024,3,,,4168,4
3025,1,,,4169,1
3026,1,,,4171,2
3027,1,,,4172,3
3030,4,,,4173,3
3035,1,,,4183,3
3036,4,,,4189,1
3038,1,,,4190,3
3039,1,,,4191,1
3043,1,,,4192,1
3044,3,,,4193,2
3046,1,,,4195,1
3048,1,,,4198,1
3049,1,,,4199,1
